PF23240.1	PF23240.1
PF23231.1	PF23231.1
PF23233.1	PF23233.1
PF23220.1	PF23220.1
PF14932.11	PF14932.11
PF15003.11	PF15003.11
PF14735.11	PF14735.11
PF14817.11	PF14817.11
PF14661.11	PF14661.11
PF12944.13	PF12944.13
PF06777.17	PF06777.17
PF18534.6	PF18534.6
PF16591.11	PF16591.11
PF22419.2	PF22419.2
PF03928.20	PF03928.20
PF08539.16	PF08539.16
PF08938.16	PF08938.16
PF23936.1	PF23936.1
PF07432.18	PF07432.18
PF07382.16	PF07382.16
PF06594.17	PF06594.17
PF14856.11	PF14856.11
PF11576.14	PF11576.14
PF06690.17	PF06690.17
PF06787.16	PF06787.16
PF12154.13	PF12154.13
PF17609.7	PF17609.7
PF12507.13	PF12507.13
PF07818.18	PF07818.18
PF00955.27	PF00955.27
PF24163.2	PF24163.2
PF07111.17	PF07111.17
PF22617.1	PF22617.1
PF01543.22	PF01543.22
PF01542.23	PF01542.23
PF01539.22	PF01539.22
PF01560.22	PF01560.22
PF01538.23	PF01538.23
PF01006.25	PF01006.25
PF01001.24	PF01001.24
PF01506.24	PF01506.24
PF08300.18	PF08300.18
PF08301.18	PF08301.18
PF12941.12	PF12941.12
PF01837.22	PF01837.22
PF01966.28	PF01966.28
PF24391.1	PF24391.1
PF04618.17	PF04618.17
PF11496.14	PF11496.14
PF12203.13	PF12203.13
PF22688.2	PF22688.2
PF02329.21	PF02329.21
PF17528.7	PF17528.7
PF06411.16	PF06411.16
PF14701.12	PF14701.12
PF15115.11	PF15115.11
PF08668.18	PF08668.18
PF02924.19	PF02924.19
PF22196.1	PF22196.1
PF01517.23	PF01517.23
PF13023.12	PF13023.12
PF13328.12	PF13328.12
PF13487.12	PF13487.12
PF13286.11	PF13286.11
PF19276.4	PF19276.4
PF12236.14	PF12236.14
PF16002.10	PF16002.10
PF09008.15	PF09008.15
PF02985.28	PF02985.28
PF13646.12	PF13646.12
PF25504.1	PF25504.1
PF23593.1	PF23593.1
PF24573.1	PF24573.1
PF24492.1	PF24492.1
PF17517.7	PF17517.7
PF01378.23	PF01378.23
PF11550.13	PF11550.13
PF22361.2	PF22361.2
PF00475.24	PF00475.24
PF00218.27	PF00218.27
PF13927.12	PF13927.12
PF13927.12	PF00047.31
PF13927.12	PF13895.12
PF16680.11	PF16680.11
PF16681.11	PF16681.11
PF18452.7	PF18452.7
PF19081.6	PF19081.6
PF24528.1	PF24528.1
PF23197.1	PF23197.1
PF17736.7	PF17736.7
PF17737.7	PF17737.7
PF24518.1	PF24518.1
PF24291.1	PF24291.1
PF24507.1	PF24507.1
PF25249.1	PF25249.1
PF25248.1	PF25248.1
PF24816.2	PF24816.2
PF24771.2	PF24771.2
PF25511.1	PF25511.1
PF23892.1	PF23892.1
PF24584.1	PF24584.1
PF23277.2	PF23277.2
PF23316.1	PF23316.1
PF24025.1	PF24025.1
PF24462.1	PF24462.1
PF24464.1	PF24464.1
PF23616.1	PF23616.1
PF18368.7	PF18368.7
PF24425.1	PF24425.1
PF24427.1	PF24427.1
PF12421.14	PF12421.14
PF23608.1	PF23608.1
PF24415.1	PF24415.1
PF24421.1	PF24421.1
PF15097.11	PF15097.11
PF24489.1	PF24489.1
PF17753.7	PF17753.7
PF23141.1	PF23141.1
PF22959.3	PF22959.3
PF25354.1	PF25354.1
PF22967.3	PF22967.3
PF22969.3	PF22969.3
PF22963.3	PF22963.3
PF24991.2	PF24991.2
PF24935.1	PF24935.1
PF22962.3	PF22962.3
PF24902.1	PF24902.1
PF23166.1	PF23166.1
PF25305.1	PF25305.1
PF25419.1	PF25419.1
PF23664.1	PF23664.1
PF25456.1	PF25456.1
PF24189.1	PF24189.1
PF24811.1	PF24811.1
PF24619.1	PF24619.1
PF24908.1	PF24908.1
PF24910.1	PF24910.1
PF24612.2	PF24612.2
PF10430.15	PF10430.15
PF24502.1	PF24502.1
PF24505.1	PF24505.1
PF19532.5	PF19532.5
PF24498.1	PF24498.1
PF24499.1	PF24499.1
PF24501.1	PF24501.1
PF24495.1	PF24495.1
PF23481.2	PF23481.2
PF16070.11	PF16070.11
PF23486.1	PF23486.1
PF23487.1	PF23487.1
PF24384.1	PF24384.1
PF24545.1	PF24545.1
PF24544.1	PF24544.1
PF24546.1	PF24546.1
PF24542.1	PF24542.1
PF24966.2	PF24966.2
PF23604.1	PF23604.1
PF22971.2	PF22971.2
PF23619.1	PF23619.1
PF23736.1	PF23736.1
PF23740.1	PF23740.1
PF23738.1	PF23738.1
PF16174.10	PF16174.10
PF24401.1	PF24401.1
PF16530.11	PF16530.11
PF24402.1	PF24402.1
PF15771.10	PF15771.10
PF05049.19	PF05049.19
PF18397.6	PF18397.6
PF12179.13	PF12179.13
PF00340.25	PF00340.25
PF00726.22	PF00726.22
PF07400.16	PF07400.16
PF03039.19	PF03039.19
